Annee,Mois,Valeur,Date parution au JO
2020,8,112.4,20/11/2020
2020,7,112.5,16/10/2020
2020,6,112.4,16/09/2020
2020,5,113.3,23/08/2020
2020,4,113.4,17/07/2020
2020,3,113.6,19/06/2020
2020,2,114.1,16/05/2020
2020,1,114.0,14/05/2020
2019,12,113.6,21/03/2020
2019,11,113.6,15/02/2020
2019,10,113.6,17/01/2020
2019,9,113.7,20/12/2019
2019,8,113.5,16/11/2019
2019,7,113.4,19/10/2019
2019,6,113.3,21/09/2019
2019,5,113.3,23/08/2019
2019,4,113.1,19/07/2019
2019,3,112.8,22/06/2019
2019,2,112.4,16/05/2019
2019,1,112.2,18/04/2019
2018,12,111.7,23/03/2019
2018,11,112.0,19/02/2019
2018,10,112.0,19/01/2019
2018,9,111.9,21/12/2018
2018,8,111.7,15/11/2018
2018,7,111.6,12/10/2018
2018,6,111.6,15/09/2018
2018,5,111.5,17/08/2018
2018,4,111.0,17/07/2018
2018,3,110.7,27/06/2018
2018,2,110.2,16/05/2018
2018,1,110.1,03/05/2018
2017,12,109.3,22/03/2018
2017,11,109.3,21/02/2018
2017,10,109.1,17/01/2018
2017,9,109.1,22/12/2017
2017,8,109.0,15/11/2017
2017,7,108.7,13/10/2017
2017,6,108.6,16/09/2017
2017,5,108.7,11/08/2017
2017,4,108.7,16/07/2017
2017,3,108.7,05/07/2017
2017,2,108.6,14/05/2017
2017,1,108.5,15/04/2017
2016,12,107.9,21/03/2017
2016,11,107.9,15/02/2017
2016,10,107.7,14/01/2017
2016,9,107.4,21/12/2016
2016,8,107.2,17/11/2016
2016,7,107.4,13/10/2016
2016,6,107.2,21/09/2016
2016,5,107.1,13/08/2016
2016,4,106.7,14/07/2016
2016,3,106.5,22/06/2016
2016,2,106.5,15/05/2016
2016,1,106.5,14/04/2016
2015,12,106.5,24/03/2016
2015,11,106.7,14/02/2016
2015,10,106.5,16/01/2016
2015,9,106.5,23/12/2015
2015,8,106.9,21/11/2015
2015,7,106.9,16/10/2015
2015,6,106.9,20/09/2015
2015,5,107.2,18/08/2015
2015,4,106.8,26/07/2015
2015,3,106.9,20/06/2015
2015,2,106.8,17/05/2015
2015,1,106.6,18/04/2015
2014,12,106.4,15/03/2015
2014,11,106.8,15/02/2015
2014,10,107.0,16/01/2015
