Annee,Mois,Valeur,Date parution au JO
2020,8,111.0,20/11/2020
2020,7,111.1,16/10/2020
2020,6,111.1,16/09/2020
2020,5,111.4,23/08/2020
2020,4,111.3,17/07/2020
2020,3,111.8,19/06/2020
2020,2,112.1,16/05/2020
2020,1,112.3,14/05/2020
2019,12,111.8,21/03/2020
2019,11,111.7,15/02/2020
2019,10,111.7,17/01/2020
2019,9,112.1,20/12/2019
2019,8,112.3,16/11/2019
2019,7,111.9,19/10/2019
2019,6,111.7,21/09/2019
2019,5,111.6,23/08/2019
2019,4,111.6,19/07/2019
2019,3,111.8,22/06/2019
2019,2,111.3,16/05/2019
2019,1,110.9,18/04/2019
2018,12,110.5,23/03/2019
2018,11,110.5,19/02/2019
2018,10,110.7,19/01/2019
2018,9,110.4,21/12/2018
2018,8,110.3,15/11/2018
2018,7,109.9,12/10/2018
2018,6,109.8,15/09/2018
2018,5,109.9,17/08/2018
2018,4,109.6,17/07/2018
2018,3,109.4,27/06/2018
2018,2,108.9,16/05/2018
2018,1,108.8,03/05/2018
2017,12,108.0,22/03/2018
2017,11,107.9,21/02/2018
2017,10,107.2,17/01/2018
2017,9,106.5,22/12/2017
2017,8,106.4,15/11/2017
2017,7,105.9,13/10/2017
2017,6,105.8,16/09/2017
2017,5,105.5,11/08/2017
2017,4,105.5,16/07/2017
2017,3,105.3,05/07/2017
2017,2,105.1,14/05/2017
2017,1,104.7,15/04/2017
2016,12,104.3,21/03/2017
2016,11,103.9,15/02/2017
2016,10,103.7,14/01/2017
2016,9,104.2,21/12/2016
2016,8,104.2,17/11/2016
2016,7,103.8,13/10/2016
2016,6,103.3,21/09/2016
2016,5,102.3,13/08/2016
2016,4,101.9,14/07/2016
2016,3,101.7,22/06/2016
2016,2,101.8,15/05/2016
2016,1,102.1,14/04/2016
2015,12,102.5,24/03/2016
2015,11,103.2,14/02/2016
2015,10,103.3,16/01/2016
2015,9,103.5,23/12/2015
2015,8,104.4,21/11/2015
2015,7,104.4,16/10/2015
2015,6,104.5,20/09/2015
2015,5,104.7,18/08/2015
2015,4,104.6,26/07/2015
2015,3,104.4,20/06/2015
2015,2,104.3,17/05/2015
2015,1,104.1,18/04/2015
2014,12,103.8,15/03/2015
2014,11,104.5,15/02/2015
2014,10,105.0,16/01/2015
